DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
6.903541,1.454967,83.46407,28.11021,6.086661,1.454967,2.914532,1
53.60713,1.475961,76.88512,29.58086,48.49401,1.475961,22.80081,0
51.89813,1.469902,78.39837,87.92766,4.127172,1.469902,51.71288,0
21.02642,1.620144,57.07877,104.4052,-9.123887,1.620144,18.87432,0
42.14741,1.498921,72.26949,84.37744,0.7156905,1.498921,42.11467,0
54.39292,1.471744,77.91864,128.6005,-32.75005,1.471744,43.40343,0
30.51708,1.450563,86.03717,13.79878,29.62132,1.450563,7.194809,0
25.69209,1.529812,67.4706,62.74917,15.80771,1.529812,20.19552,0
44.12997,1.462873,80.4447,9.775455,44.07713,1.462873,1.587498,0
29.61324,1.505511,71.14722,68.81468,13.71143,1.505511,26.20447,0
37.31842,1.50641,70.99902,105.826,-14.34505,1.50641,34.41824,0
13.43423,1.533474,66.96517,23.33132,13.29491,1.533474,1.171501,0
36.38532,1.481757,75.58337,58.35001,21.67733,1.481757,29.18543,0
28.46183,1.454113,83.87864,61.15778,14.20268,1.454113,24.62205,0
42.12304,1.455147,83.38031,31.64374,36.41357,1.455147,21.12546,0
37.00416,1.478154,76.37819,157.3047,-35.45998,1.478154,10.47437,0
20.59897,1.530361,67.3941,115.2824,-7.188904,1.530361,19.24305,0
53.51226,1.464214,80.0222,34.61464,44.08262,1.464214,30.30084,0
55.67594,1.467876,78.94965,114.1381,-22.36397,1.467876,50.96576,0
4.535043,1.98667,29.83541,93.47929,2.249325,1.98667,3.400043,0
27.10685,1.450271,86.27006,102.1793,-2.45488,1.450271,26.95647,0
39.16748,1.454296,83.78728,6.509967,39.11815,1.454296,1.321747,0
22.08318,1.456977,82.58009,48.91022,12.77149,1.456977,17.95642,0
52.69602,1.46911,78.61069,120.4849,-28.55605,1.46911,44.26358,0
11.4247,1.623654,56.73514,102.3774,-3.040233,1.623654,10.89241,0
42.68551,1.466754,79.26701,157.9271,-40.1085,1.466754,14.53305,1
40.15448,1.453497,84.19504,156.5449,-37.11203,1.453497,15.26323,0
40.84967,1.452708,84.62833,147.714,-34.56966,1.452708,21.71459,0
21.44493,1.462628,80.52386,128.3658,-15.40951,1.462628,14.84227,0
42.22245,1.495542,72.87235,115.1965,-19.63528,1.495542,37.34909,0
44.69754,1.467191,79.1422,50.79649,28.19092,1.467191,34.6553,1
32.01258,1.484807,74.94243,73.96872,11.22348,1.484807,29.94385,0
35.91583,1.468187,78.86325,71.86926,10.87421,1.468187,34.19858,1
13.58865,1.629738,56.14688,142.2048,-12.92175,1.629738,3.876076,0
